PB_ratio,Market_Cap,Debt_to_Equity,Z_score,Quick_Ratio,Total_Asset_Growth,Net_Debt,Operating_Profitability
1.557709511,2069732280,0.53,1.150079898,0.7452,-0.13,578276000,819493000
4.775655497,2063733056,2.43,0.040388055,0.4166,-0.22,2686843000,136982000
2.36590185,2951618208,2.60,0.168691379,0.44666,-0.02,5894376000,-289209000
2.010891977,2423686496,2.33,0.195166755,0.43966,-0.01,6104871000,-557987000
1.674217539,2249709000,1.96,0.469774233,0.54968,0.02,6274423000,-302813000
1.495637427,3881497928,1.78,0.818038627,0.61488,0.09,6470026000,251115000
1.496548497,9100822808,1.81,1.011236511,0.607,0.14,6496218000,250564000
1.528802391,6773123896,1.28,1.015751863,0.53938,0.04,4484503000,140673000
1.480139482,6299185200,1.00,0.815388522,0.46356,0.08,3539080000,115055790
1.439739474,4679394720,0.79,0.631612871,0.60447,0.10,2668635380,93160220
5.459675539,27197000061,0.192352636,2.395237341,0.51823,0.092702868,-2340700000,870900000
5.658533895,14001767143,0.24212189,1.88517272,0.43437,0.181127075,-1189900000,232662000
5.840427422,17543149769,0.236468127,1.75014483,0.50192,0.391841337,-253300000,-139300000
5.725686544,11668139286,0.090211644,2.746602381,0.94394,0.142176053,-1238700000,-52100000
5.733475866,10439914098,0.165010603,2.293422038,1.35242,-0.01609506,-214600000,-193900000
5.498507566,12405074399,0.208324273,3.567859681,1.75416,-0.032649019,-209900000,289900000
5.613533998,19144960118,0.180075478,3.725650567,1.20731,0.009464575,-553600000,494300000
5.948562533,13658887612,0.122782498,4.635849816,1.13935,0.031398169,-1364200000,853900000
6.60782741,17543149769,0.103910477,3.495837532,1.07218,0.024176376,-1926200000,1337500000
7.177504075,18498295270,0.06705307,3.949644817,0.89564,0.885423309,-2579400000,304806850
0.384448555,6702719050,0.000810626,11.69438302,29.8933,-0.000280112,-4770995000,-242855000
0.388396747,6814905255,0.001881129,7.292690408,18.32543,0.002651374,-1112066000,-173662000
0.388296296,8243574004,0.002851223,8.99471864,11.16061,0.015400276,-902818000,-192268000
0.395721381,4096106086,0.002178991,6.592373923,19.78465,0.022965658,-832602000,-140449000
0.40408387,2388325179,0.003174992,3.817765968,18.25609,0.033332115,-7738000,270921000
0.416406849,4573477420,0,7.630776318,35.7369,0.020040518,-101975000,-221616000
0.425245977,10221004528,0,11.03063256,30.94344,0.019596901,-494953000,-120772000
0.433339924,6471590807,0,11.93569746,40.84051,0.025671598,-996128000,-78048000
0.445390148,9540460257,0,9.412072776,32.37704,0.002897011,-23586000,-56544000
0.446022128,7254858742,0,10.43001113,38.80918,-0.025736487,-1368050000,281483000
1.131478044,13328821314,0.021446795,8.810485138,11.70217,1.326344324,-345098000,-47167000
2.629179053,7683823377,0.046807238,9.978434006,13.4886,-0.043523797,99948000,-27210000
2.509124439,8868890664,0.042994259,10.7594505,10.69699,0.058107468,160438000,-988111000
2.66635563,5766053198,0.046350168,13.61211545,7.17992,0.099335898,248642000,-23212000
2.984312337,5606769960,0.050277395,6.313879356,5.97823,-0.114182773,246634000,5070000
2.603186824,7180488346,0.040773472,10.7327846,12.69764,-0.098473433,2549000,9954000
2.322784279,8932603959,0.040185273,11.77852879,14.56289,0.127221424,-52549000,21792000
2.517662337,5371030769,0.001813059,23.71771118,26.20016,0.162354991,-461081000,40265000
2.956539682,5288203485,0.000430418,14.81820349,34.57414,0.00800515,-457531000,56644000
2.977412591,5880737129,0,17.1672715,34.1729,0.232722104,-663282000,33134000
3.961436574,95640828459,0.171410911,7.409785158,2.84797,0.117097239,-4691200000,3157500000
5.069526805,36331199154,0.390683633,3.047314689,2.46506,-0.006166017,10474796000,1805512000
4.941194451,22825701512,0.486136639,1.872488419,1.58402,-0.048923954,12620299000,592202000
